statusId,status,raceId,circuitId,circuitName,year,teamId,teamName,resultId,driverId,position,total_time
1,Finished,5.0,4.0,Spanish Grand Prix,2009.0,6.0,Ferrari,7639.0,13.0,6,5890029
1,Finished,5.0,4.0,Spanish Grand Prix,2009.0,9.0,Red Bull,7636.0,17.0,3,5853126
1,Finished,5.0,4.0,Spanish Grand Prix,2009.0,9.0,Red Bull,7637.0,20.0,4,5858143
1,Finished,5.0,4.0,Spanish Grand Prix,2009.0,23.0,Brawn,7634.0,18.0,1,5839202
1,Finished,5.0,4.0,Spanish Grand Prix,2009.0,23.0,Brawn,7635.0,22.0,2,5852258
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,3.0,Williams,7659.0,3.0,6,6077868
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,4.0,Renault,7660.0,4.0,7,6082121
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,5.0,Toro Rosso,7661.0,7.0,8,6107424
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,6.0,Ferrari,7656.0,8.0,3,6057724
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,6.0,Ferrari,7657.0,13.0,4,6059392
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,9.0,Red Bull,7658.0,17.0,5,6060012
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,10.0,Force India,7662.0,21.0,9,6109322
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,23.0,Brawn,7654.0,18.0,1,6044282
1,Finished,6.0,6.0,Monaco Grand Prix,2009.0,23.0,Brawn,7655.0,22.0,2,6051948
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,1.0,McLaren,7686.0,1.0,13,5265302
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,2.0,BMW Sauber,7680.0,9.0,7,5231095
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,2.0,BMW Sauber,7684.0,2.0,11,5249175
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,3.0,Williams,7678.0,3.0,5,5216387
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,3.0,Williams,7685.0,6.0,12,5251224
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,4.0,Renault,7683.0,4.0,10,5247268
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,6.0,Ferrari,7679.0,13.0,6,5224844
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,6.0,Ferrari,7682.0,8.0,9,5235094
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,7.0,Toyota,7677.0,15.0,4,5212691
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,7.0,Toyota,7681.0,10.0,8,5231807
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,9.0,Red Bull,7675.0,17.0,2,5191562
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,9.0,Red Bull,7676.0,20.0,3,5192309
1,Finished,7.0,5.0,Turkish Grand Prix,2009.0,23.0,Brawn,7674.0,18.0,1,5184848
1,Finished,8.0,9.0,British Grand Prix,2009.0,3.0,Williams,7698.0,3.0,5,5015243
1,Finished,8.0,9.0,British Grand Prix,2009.0,3.0,Williams,7704.0,6.0,11,5043351
1,Finished,8.0,9.0,British Grand Prix,2009.0,6.0,Ferrari,7697.0,13.0,4,5014371
1,Finished,8.0,9.0,British Grand Prix,2009.0,6.0,Ferrari,7701.0,8.0,8,5038950
1,Finished,8.0,9.0,British Grand Prix,2009.0,7.0,Toyota,7700.0,15.0,7,5037635
1,Finished,8.0,9.0,British Grand Prix,2009.0,7.0,Toyota,7702.0,10.0,9,5039151
1,Finished,8.0,9.0,British Grand Prix,2009.0,9.0,Red Bull,7694.0,20.0,1,4969328
1,Finished,8.0,9.0,British Grand Prix,2009.0,9.0,Red Bull,7695.0,17.0,2,4984516
1,Finished,8.0,9.0,British Grand Prix,2009.0,10.0,Force India,7703.0,21.0,10,5040850
1,Finished,8.0,9.0,British Grand Prix,2009.0,23.0,Brawn,7696.0,22.0,3,5010503
